CE,CP,EPS1,FS1,FS2,PS1,PS2,PS3,PS4,PS5,PS6,SE,TS1,TS2,TS3,TS4,VS1,profile
20.995,1.576,2276.0,7.745,9.329,147.19,121.84,1.883,0.0,8.631,8.576,69.357,52.645,57.164,54.051,47.762,0.596,1
20.696,1.543,2275.2,7.781,9.278,147.23,121.78,1.859,0.0,8.676,8.608,69.568,52.648,57.199,54.121,47.977,0.607,1
20.575,1.545,2274.8,7.733,9.283,147.23,121.79,2.0,0.0,8.651,8.597,69.426,52.809,57.234,54.156,48.008,0.582,1
20.654,1.559,2274.2,7.726,9.316,147.18,121.68,1.914,0.0,8.644,8.587,69.414,52.793,57.27,54.281,48.094,0.586,1
20.55,1.547,2277.4,7.743,9.325,147.34,121.98,2.0,0.0,8.67,8.608,69.398,52.793,57.27,54.277,48.137,0.592,1
20.32,1.508,2273.6,7.739,9.319,147.12,121.52,1.844,0.0,8.587,8.528,69.612,52.91,57.34,54.277,48.246,0.579,1
20.833,1.551,2275.6,7.76,9.302,147.2,121.68,2.031,0.0,8.625,8.567,69.606,52.91,57.41,54.371,48.18,0.602,1
20.621,1.537,2276.0,7.755,9.286,147.47,121.94,2.055,0.0,8.671,8.604,69.546,52.898,57.43,54.371,48.254,0.59,1
20.833,1.562,2276.4,7.791,9.262,147.09,121.68,1.945,0.0,8.67,8.602,69.646,52.961,57.477,54.48,48.246,0.608,1
20.233,1.535,2275.8,7.778,9.296,147.23,121.77,2.062,0.0,8.666,8.615,69.653,52.953,57.5,54.465,48.332,0.579,1
19.982,1.507,2276.0,7.749,9.28,147.12,121.87,1.859,0.0,8.661,8.602,69.406,52.977,57.492,54.359,48.344,0.591,1
21.123,1.599,2274.0,7.831,9.305,147.41,121.97,1.953,0.0,8.642,8.574,69.906,52.996,57.488,54.539,48.176,0.619,1
21.524,1.64,2274.0,7.808,9.286,147.29,122.04,1.945,0.0,8.653,8.591,69.803,52.992,57.547,54.574,48.02,0.59,1
20.673,1.566,2280.0,7.836,9.278,147.42,121.94,1.953,0.0,8.649,8.596,70.111,53.164,57.504,54.465,48.258,0.61,1
21.283,1.615,2280.2,7.801,9.284,147.27,121.55,1.953,0.0,8.661,8.594,69.798,53.074,57.598,54.523,48.086,0.615,1
20.877,1.577,2280.2,7.811,9.278,147.23,121.77,2.047,0.0,8.666,8.613,70.037,53.152,57.609,54.578,48.258,0.586,1
20.908,1.583,2282.0,7.814,9.276,147.15,121.73,1.891,0.0,8.663,8.602,69.828,53.207,57.652,54.617,48.32,0.588,1
21.044,1.582,2282.8,7.89,9.321,147.21,121.91,2.047,0.0,8.623,8.559,70.23,53.242,57.668,54.621,48.398,0.587,1
21.592,1.613,2280.2,7.819,9.3,147.02,121.44,2.023,0.0,8.641,8.597,69.843,53.23,57.664,54.621,48.176,0.615,1
21.629,1.615,2279.8,7.879,9.294,147.26,121.94,1.953,0.0,8.608,8.55,70.104,53.32,57.73,54.711,48.254,0.586,1
20.295,1.529,2285.8,7.859,9.304,147.51,121.87,1.992,0.0,8.653,8.6,70.136,53.312,57.758,54.711,48.57,0.608,1
19.547,1.488,2281.2,7.881,9.278,147.1,121.49,2.133,0.0,8.637,8.589,70.364,53.32,57.762,54.699,48.742,0.59,1
19.817,1.512,2275.4,7.869,9.273,147.13,121.5,2.031,0.0,8.618,8.564,70.425,53.293,57.84,54.781,48.734,0.586,1
19.786,1.502,2277.8,7.871,9.284,147.1,121.63,2.117,0.0,8.597,8.54,70.288,53.293,57.801,54.715,48.734,0.592,1
19.653,1.509,2277.6,7.896,9.27,147.36,121.84,1.992,0.0,8.583,8.526,70.34,53.395,57.832,54.793,48.742,0.586,1
19.894,1.529,2271.8,7.865,9.247,147.19,121.6,2.156,0.0,8.639,8.58,70.453,53.391,57.879,54.883,48.73,0.593,1
19.424,1.492,2275.4,7.864,9.256,147.61,122.06,2.102,0.0,8.594,8.533,70.384,53.414,57.91,54.809,48.82,0.597,1
20.668,1.584,2273.6,7.831,9.251,147.26,121.84,2.141,0.0,8.615,8.566,69.982,53.418,57.906,54.883,48.562,0.601,1
19.755,1.509,2273.4,7.867,9.245,147.56,122.06,2.102,0.0,8.629,8.568,70.364,53.387,57.914,54.816,48.77,0.59,1
19.75,1.521,2273.8,7.866,9.291,147.21,121.84,2.023,0.0,8.563,8.504,70.416,53.402,57.98,54.887,48.793,0.612,1
19.782,1.512,2273.8,7.859,9.233,146.97,121.53,2.0,0.0,8.637,8.589,70.347,53.473,58.008,54.883,48.828,0.571,1
19.793,1.507,2269.8,7.861,9.284,147.27,121.92,1.977,0.0,8.585,8.533,70.38,53.574,58.004,54.891,48.836,0.591,1
20.669,1.565,2271.8,7.883,9.249,147.23,121.69,1.977,0.0,8.621,8.561,70.388,53.562,58.016,54.965,48.676,0.591,1
19.782,1.488,2271.8,7.873,9.276,147.13,121.77,2.078,0.0,8.594,8.525,70.263,53.645,58.004,54.887,48.918,0.598,1
20.297,1.538,2277.4,7.881,9.245,147.07,121.67,2.156,0.0,8.625,8.557,70.128,53.617,58.016,54.984,48.848,0.621,1
19.662,1.495,2274.0,7.859,9.227,146.89,121.77,2.031,0.0,8.631,8.58,70.059,53.645,58.098,55.012,49.0,0.596,1
19.715,1.492,2275.6,7.859,9.252,147.2,121.84,2.031,0.0,8.608,8.549,70.282,53.629,58.113,55.023,48.992,0.578,1
19.806,1.504,2273.4,7.881,9.252,147.29,121.88,1.977,0.0,8.594,8.536,70.106,53.656,58.137,55.051,49.008,0.6,1
19.953,1.516,2272.0,7.885,9.27,147.05,121.58,1.992,0.0,8.598,8.542,70.219,53.641,58.18,55.074,48.996,0.611,1
20.452,1.546,2277.4,7.877,9.256,147.13,121.5,1.992,0.0,8.573,8.505,70.221,53.66,58.164,55.145,48.918,0.604,1
20.172,1.536,2273.8,7.868,9.227,147.4,121.88,2.102,0.0,8.578,8.521,70.142,53.75,58.18,55.141,49.012,0.589,1
20.054,1.513,2271.6,7.879,9.216,147.45,121.86,2.023,0.0,8.604,8.547,70.008,53.738,58.195,55.141,49.031,0.588,1
20.154,1.527,2273.4,7.878,9.238,147.09,121.6,2.031,0.0,8.571,8.521,70.196,53.82,58.266,55.238,49.098,0.596,1
19.762,1.512,2275.4,7.821,9.236,147.05,121.69,2.0,0.0,8.583,8.528,70.325,53.816,58.277,55.223,49.078,0.606,1
19.911,1.538,2271.6,7.876,9.222,147.24,121.84,1.977,0.0,8.625,8.567,70.182,53.816,58.277,55.223,49.09,0.591,1
19.973,1.532,2269.8,7.836,9.224,147.2,121.73,2.023,0.0,8.575,8.516,70.133,53.832,58.273,55.234,49.031,0.599,1
19.464,1.507,2273.6,7.854,9.22,146.83,121.42,2.109,0.0,8.618,8.566,70.24,53.828,58.277,55.234,49.172,0.609,1
19.672,1.527,2273.6,7.849,9.214,147.3,121.99,2.086,0.0,8.578,8.518,70.093,53.812,58.273,55.215,49.086,0.622,1
19.635,1.528,2271.6,7.873,9.23,147.13,121.6,2.047,0.0,8.601,8.545,70.22,53.832,58.305,55.215,49.086,0.589,1
19.685,1.531,2267.8,7.841,9.232,147.16,121.69,1.953,0.0,8.59,8.54,70.095,53.828,58.328,55.238,49.086,0.609,1
19.68,1.528,2271.4,7.869,9.229,146.93,121.48,2.156,0.0,8.58,8.521,70.301,53.746,58.289,55.223,49.086,0.599,1
19.42,1.509,2270.0,7.867,9.197,147.17,121.92,2.086,0.0,8.616,8.543,70.218,53.832,58.344,55.309,49.168,0.61,1
19.505,1.516,2269.8,7.879,9.249,147.48,122.13,2.109,0.0,8.569,8.514,70.48,53.816,58.344,55.238,49.164,0.624,1
19.325,1.507,2269.6,7.909,9.236,147.24,121.94,2.023,0.0,8.585,8.528,70.363,53.84,58.344,55.234,49.211,0.592,1
19.365,1.514,2268.0,7.856,9.249,147.23,121.65,2.031,0.0,8.599,8.543,70.126,53.914,58.398,55.234,49.184,0.596,1
19.392,1.509,2268.6,7.881,9.229,147.5,121.97,2.062,0.0,8.592,8.535,70.243,53.82,58.402,55.227,49.164,0.6,1
19.475,1.507,2269.6,7.875,9.219,146.98,121.61,2.141,0.0,8.579,8.524,70.104,53.82,58.398,55.238,49.172,0.591,1
19.963,1.552,2271.4,7.881,9.221,147.18,121.73,2.133,0.0,8.599,8.54,70.14,53.828,58.359,55.32,49.168,0.578,1
19.48,1.509,2272.2,7.881,9.252,147.02,121.83,1.953,0.0,8.55,8.487,70.189,53.906,58.437,55.242,49.164,0.595,1
19.659,1.522,2271.8,7.769,9.214,147.17,121.84,1.977,0.0,8.563,8.497,69.803,53.84,58.43,55.309,49.184,0.616,1
19.506,1.523,2271.8,7.833,9.197,147.15,121.63,2.109,0.0,8.591,8.533,70.305,53.906,58.449,55.309,49.184,0.6,1
19.708,1.534,2268.2,7.829,9.198,146.73,121.3,2.031,0.0,8.599,8.531,70.041,53.914,58.457,55.32,49.145,0.59,1
19.533,1.525,2273.8,7.816,9.196,147.41,122.0,2.0,0.0,8.583,8.526,69.912,53.988,58.531,55.316,49.195,0.587,1
19.464,1.515,2273.6,7.875,9.191,147.28,121.88,2.109,0.0,8.616,8.557,69.875,53.895,58.52,55.32,49.184,0.607,1
19.573,1.527,2273.2,7.815,9.247,147.04,121.52,2.0,0.0,8.559,8.496,69.829,53.992,58.504,55.316,49.172,0.593,1
19.608,1.532,2272.0,7.858,9.236,146.97,121.49,1.992,0.0,8.568,8.504,70.003,53.98,58.52,55.32,49.164,0.598,1
19.607,1.54,2271.6,7.824,9.216,147.34,122.05,1.953,0.0,8.604,8.54,69.976,53.91,58.531,55.391,49.18,0.617,1
19.644,1.542,2268.0,7.853,9.234,147.13,121.73,2.102,0.0,8.59,8.543,70.025,54.004,58.531,55.387,49.191,0.608,1
20.058,1.564,2273.6,7.84,9.226,147.1,121.58,1.891,0.0,8.567,8.509,70.022,54.004,58.535,55.402,49.078,0.595,1
19.798,1.552,2269.4,7.826,9.212,146.96,121.63,2.086,0.0,8.594,8.537,69.912,53.922,58.523,55.402,49.164,0.6,1
19.557,1.523,2269.4,7.874,9.218,147.02,121.81,2.023,0.0,8.582,8.526,69.923,53.992,58.531,55.398,49.246,0.603,1
19.483,1.52,2266.0,7.854,9.22,147.17,122.02,2.062,0.0,8.554,8.493,70.12,53.98,58.543,55.457,49.324,0.603,1
19.537,1.523,2267.6,7.848,9.196,146.93,121.59,2.117,0.0,8.601,8.55,70.011,54.043,58.52,55.41,49.246,0.595,1
19.963,1.554,2266.6,7.839,9.254,146.86,121.45,1.992,0.0,8.545,8.484,69.892,54.055,58.535,55.441,49.219,0.601,1
19.598,1.539,2267.0,7.795,9.214,146.98,121.63,2.031,0.0,8.583,8.519,69.879,53.988,58.531,55.465,49.344,0.595,1
19.644,1.528,2267.2,7.884,9.214,146.94,121.41,2.008,0.0,8.583,8.521,70.008,54.047,58.535,55.418,49.242,0.596,1
19.781,1.547,2269.2,7.828,9.21,147.06,121.73,1.977,0.0,8.566,8.498,69.917,53.992,58.531,55.437,49.219,0.595,1
19.95,1.564,2269.4,7.857,9.194,147.09,121.73,2.086,0.0,8.586,8.528,70.028,53.988,58.52,55.492,49.219,0.596,1
19.442,1.528,2266.0,7.798,9.232,146.94,121.47,2.008,0.0,8.567,8.509,69.949,54.047,58.562,55.492,49.34,0.612,1
19.754,1.548,2275.8,7.861,9.203,147.08,121.66,1.945,0.0,8.558,8.493,69.902,54.02,58.543,55.465,49.258,0.597,1
19.862,1.555,2269.6,7.868,9.203,147.28,121.57,2.0,0.0,8.569,8.505,69.921,54.074,58.598,55.465,49.211,0.59,1
19.814,1.545,2267.6,7.829,9.221,147.37,121.92,1.969,0.0,8.58,8.533,69.856,54.055,58.562,55.484,49.242,0.583,1
19.875,1.562,2269.8,7.871,9.227,147.04,121.34,2.023,0.0,8.566,8.496,70.021,54.043,58.59,55.496,49.262,0.592,1
19.821,1.549,2274.0,7.85,9.201,147.08,121.7,2.031,0.0,8.563,8.507,69.749,54.066,58.613,55.48,49.242,0.592,1
19.432,1.525,2266.8,7.834,9.246,147.15,121.61,1.992,0.0,8.563,8.509,69.786,54.066,58.605,55.48,49.34,0.593,1
19.649,1.545,2271.6,7.835,9.223,147.27,121.94,2.023,0.0,8.587,8.531,69.938,54.074,58.617,55.437,49.262,0.589,1
19.98,1.564,2268.6,7.839,9.191,146.93,121.55,2.023,0.0,8.533,8.476,69.764,54.059,58.633,55.48,49.195,0.603,1
20.055,1.565,2267.2,7.824,9.207,146.81,121.38,2.109,0.0,8.562,8.497,69.724,54.082,58.633,55.492,49.195,0.598,1
20.02,1.564,2267.6,7.824,9.216,147.37,121.91,2.133,0.0,8.571,8.512,69.836,54.086,58.695,55.453,49.172,0.608,1
19.532,1.526,2268.0,7.812,9.243,147.34,121.94,1.969,0.0,8.541,8.483,69.65,54.055,58.695,55.566,49.418,0.587,1
19.556,1.529,2267.8,7.82,9.218,147.43,121.88,2.031,0.0,8.562,8.51,69.713,54.074,58.68,55.484,49.328,0.603,1
20.059,1.572,2267.8,7.818,9.251,146.93,121.34,1.992,0.0,8.538,8.477,69.92,54.086,58.668,55.574,49.191,0.6,1
19.855,1.549,2270.4,7.843,9.221,147.12,121.94,1.992,0.0,8.546,8.477,69.841,54.086,58.699,55.586,49.328,0.608,1
20.106,1.577,2267.6,7.833,9.197,146.85,121.34,2.023,0.0,8.597,8.533,69.807,54.176,58.695,55.578,49.223,0.596,1
19.578,1.53,2265.8,7.829,9.212,147.05,121.81,2.023,0.0,8.559,8.502,69.921,54.07,58.707,55.492,49.344,0.591,1
19.82,1.552,2269.8,7.786,9.244,147.31,121.89,2.055,0.0,8.531,8.477,69.804,54.164,58.754,55.578,49.336,0.593,1
20.098,1.572,2272.2,7.829,9.182,147.44,121.91,2.086,0.0,8.595,8.537,69.84,54.164,58.715,55.574,49.242,0.596,1
19.855,1.553,2267.8,7.781,9.246,147.08,121.53,2.117,0.0,8.546,8.483,69.639,54.16,58.762,55.59,49.328,0.603,1
19.776,1.551,2266.0,7.821,9.181,147.23,121.89,2.086,0.0,8.537,8.472,69.817,54.172,58.75,55.652,49.406,0.595,1
19.828,1.559,2265.8,7.839,9.204,146.88,121.41,1.992,0.0,8.561,8.493,69.984,54.172,58.793,55.645,49.41,0.599,1
19.796,1.549,2267.6,7.768,9.21,147.28,122.13,2.086,0.0,8.524,8.467,69.675,54.172,58.781,55.652,49.406,0.608,1
19.838,1.552,2269.6,7.814,9.197,147.4,121.91,2.102,0.0,8.554,8.488,69.763,54.246,58.777,55.566,49.324,0.608,1
19.734,1.546,2270.0,7.871,9.207,147.36,121.99,2.023,0.0,8.54,8.484,69.807,54.148,58.793,55.656,49.418,0.6,1
19.609,1.531,2262.0,7.806,9.187,147.02,121.65,1.977,0.0,8.578,8.512,69.976,54.148,58.844,55.566,49.418,0.619,1
19.832,1.547,2263.4,7.791,9.196,147.34,121.96,1.953,0.0,8.559,8.501,69.79,54.238,58.859,55.656,49.406,0.597,1
19.859,1.546,2259.8,7.796,9.19,147.4,122.04,2.062,0.0,8.55,8.486,69.871,54.238,58.863,55.652,49.406,0.604,1
19.869,1.545,2260.0,7.795,9.185,147.29,121.69,2.0,0.0,8.534,8.469,69.899,54.242,58.887,55.656,49.434,0.593,1
19.837,1.554,2259.8,7.806,9.173,146.78,121.45,2.164,0.0,8.547,8.476,69.891,54.254,58.863,55.707,49.418,0.602,1
19.864,1.549,2263.8,7.797,9.199,146.86,121.32,1.898,0.0,8.586,8.52,69.978,54.238,58.875,55.687,49.418,0.602,1
19.958,1.552,2262.8,7.802,9.194,147.08,121.55,1.977,0.0,8.577,8.52,69.803,54.238,58.859,55.727,49.418,0.609,1
19.955,1.555,2263.4,7.808,9.214,146.72,121.21,1.945,0.0,8.531,8.474,69.918,54.242,58.848,55.695,49.441,0.595,1
20.029,1.554,2263.0,7.828,9.216,147.18,121.73,2.156,0.0,8.532,8.472,69.842,54.23,58.855,55.715,49.418,0.6,1
19.885,1.548,2268.6,7.804,9.167,146.96,121.65,2.023,0.0,8.579,8.52,69.821,54.254,58.871,55.656,49.457,0.611,1
20.081,1.569,2266.8,7.776,9.209,146.86,121.44,2.031,0.0,8.55,8.488,69.717,54.242,58.871,55.746,49.43,0.598,1
19.935,1.548,2265.6,7.835,9.194,146.86,121.24,1.992,0.0,8.538,8.477,69.83,54.254,58.883,55.684,49.445,0.589,1
19.9,1.541,2267.4,7.808,9.209,147.17,121.94,1.953,0.0,8.568,8.507,69.728,54.332,58.859,55.711,49.457,0.617,1
20.047,1.559,2267.0,7.815,9.186,147.08,121.77,2.102,0.0,8.54,8.493,69.727,54.254,58.863,55.734,49.473,0.612,1
20.059,1.559,2266.0,7.841,9.204,146.74,121.4,2.0,0.0,8.538,8.481,69.726,54.246,58.863,55.727,49.422,0.611,1
20.001,1.551,2265.2,7.768,9.177,146.88,121.6,1.992,0.0,8.536,8.49,69.726,54.246,58.855,55.727,49.469,0.613,1
